"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",0.997947321589403,-14.419369261,49.2904711296151,"[-95.61, 97.61]","no"
"2","pxp",29.636683406249,29.001207722,12.19764936704,"[5.73, 53.54]","yes"
"3","ethnic2",-0.861416151417846,10.629753717,73.1976812657554,"[-144.33, 142.61]","no"
"4","ethnic3",-11.647387238987,-23.561854022,79.7784691746533,"[-168.01, 144.72]","no"
"5","ethnic4",22.6803339114793,32.276444335,62.2466368704149,"[-99.32, 144.68]","no"
"6","ethnic5",9.95932071315371,6.096813715,52.0861612772666,"[-92.13, 112.05]","no"
"7","ethnic6",-66.2631326557539,-67.231410107,37.0257309851441,"[-138.83, 6.31]","no"
"8","ethnic7",-40.385877273076,-42.22784632,36.9156048912379,"[-112.74, 31.97]","no"
"9","ethnic8",-46.0866178983073,-42.141854485,175.219958305955,"[-389.52, 297.34]","no"
"10","age",3.28541027708839,3.292648237,0.84015497202985,"[1.64, 4.93]","yes"
"11","educ",20.4154857901127,20.008636932,8.22504838624271,"[4.29, 36.54]","yes"
"12","private",145.0237323326,141.464642108,22.646257360208,"[100.64, 189.41]","yes"
"13","labors",19.7597588000099,20.283127079,13.1504550099262,"[-6.02, 45.53]","no"
"14","nchild",8.96076742254235,8.08328437,13.6063646727053,"[-17.71, 35.63]","no"
"15","visits",19.2578381712155,19.391976117,2.07708582867709,"[15.19, 23.33]","yes"
"16","nbl",-911.553949308611,-909.070146113,32.6434611348668,"[-975.54, -847.57]","yes"
"17","sex",-103.839542342424,-104.657213437,6.6406164421375,"[-116.86, -90.82]","yes"
"18","tlabor",-21.9773364506138,-24.249324302,13.494203410411,"[-48.43, 4.47]","no"
"19","marital2",48.5309705723323,46.273287489,9.34805727735721,"[30.21, 66.85]","yes"
"20","marital3",43.5310537436636,41.468231142,13.7639254887539,"[16.55, 70.51]","yes"
"21","marital4",71.450530362506,66.688520216,43.1923132090477,"[-13.21, 156.11]","no"
"22","marital5",134.940992619069,123.787179152,137.860583146973,"[-135.27, 405.15]","no"
"23","marital6",85.0718519438414,88.349901876,114.061520469426,"[-138.49, 308.63]","no"
"24","marital7",90.3820301550293,85.315437763,24.6823070787038,"[42, 138.76]","yes"
"25","bx_pxp",-80.0222152896764,-72.422869152,32.6730155902922,"[-144.06, -15.98]","yes"
