"","coef","estimate_1","mean_1","se_1","ci_1","significant_1"
"1","bx",-48.5808371373589,-112.68913,7.69367533270023,"[-63.66, -33.5]","no"
"2","ethnic2",-1.64222111988613,46.9604855,55.2173526528511,"[-109.87, 106.58]","no"
"3","ethnic3",-10.1930946214931,-4.3492175,69.9354239214314,"[-147.27, 126.88]","no"
"4","ethnic4",22.442208586778,31.1041595,2.50422220110606,"[17.53, 27.35]","yes"
"5","ethnic5",10.4015557110686,2.35184,44.339901460694,"[-76.5, 97.31]","no"
"6","ethnic6",-66.237126069563,-62.656956,22.5898512431122,"[-110.51, -21.96]","no"
"7","ethnic7",-39.681794849554,-30.5000755,32.3687738669298,"[-103.12, 23.76]","no"
"8","ethnic8",-48.4160974626987,-228.4953185,34.055297079165,"[-115.16, 18.33]","no"
"9","age",3.28882647423287,3.7263175,0.110793026010214,"[3.07, 3.51]","yes"
"10","educ",20.6515101418615,23.1322775,9.72154797959216,"[1.6, 39.71]","yes"
"11","private",144.526286911716,143.799723,38.2573646862866,"[69.54, 219.51]","yes"
"12","labors",19.6717479937916,16.0450545,2.52775754321108,"[14.72, 24.63]","yes"
"13","nchild",9.03143933147028,10.04102,3.17683702061311,"[2.8, 15.26]","yes"
"14","visits",19.3291933552382,19.193636,2.36133925515204,"[14.7, 23.96]","yes"
"15","nbl",-912.170034568939,-900.738466,20.0109111897585,"[-951.39, -872.95]","no"
"16","sex",-103.974541852638,-107.973175,1.01587768511371,"[-105.97, -101.98]","no"
"17","tlabor",-21.7746580559017,-16.7672925,19.4432409160745,"[-59.88, 16.33]","no"
"18","marital2",48.8243408708978,46.114535,9.63909155073122,"[29.93, 67.72]","yes"
"19","marital3",43.8252662161663,49.149648,17.8934672055733,"[8.75, 78.9]","yes"
"20","marital4",71.4325269943381,65.93328,0.406757519023314,"[70.64, 72.23]","yes"
"21","marital5",132.272029880272,195.9235345,214.140612887225,"[-287.44, 551.99]","no"
"22","marital6",83.3599371482594,84.883712,191.212444283333,"[-291.42, 458.14]","no"
"23","marital7",91.4843202578075,86.0995115,1.79312875188719,"[87.97, 95]","yes"
