"","coef","estimate_1","mean_1","se_1","ci_1","significant_1"
"1","bx",-48.5808371373589,-50.07917,NA,"[NA, NA]",NA
"2","ethnic2",-1.64222111988613,-14.749471,NA,"[NA, NA]",NA
"3","ethnic3",-10.1930946214931,-54.639008,NA,"[NA, NA]",NA
"4","ethnic4",22.442208586778,39.554239,NA,"[NA, NA]",NA
"5","ethnic5",10.4015557110686,23.04456,NA,"[NA, NA]",NA
"6","ethnic6",-66.237126069563,-56.490327,NA,"[NA, NA]",NA
"7","ethnic7",-39.681794849554,-37.827408,NA,"[NA, NA]",NA
"8","ethnic8",-48.4160974626987,-90.035881,NA,"[NA, NA]",NA
"9","age",3.28882647423287,2.619434,NA,"[NA, NA]",NA
"10","educ",20.6515101418615,19.98702,NA,"[NA, NA]",NA
"11","private",144.526286911716,151.075617,NA,"[NA, NA]",NA
"12","labors",19.6717479937916,15.388986,NA,"[NA, NA]",NA
"13","nchild",9.03143933147028,14.011317,NA,"[NA, NA]",NA
"14","visits",19.3291933552382,19.695626,NA,"[NA, NA]",NA
"15","nbl",-912.170034568939,-936.240544,NA,"[NA, NA]",NA
"16","sex",-103.974541852638,-102.833878,NA,"[NA, NA]",NA
"17","tlabor",-21.7746580559017,-29.184984,NA,"[NA, NA]",NA
"18","marital2",48.8243408708978,52.190234,NA,"[NA, NA]",NA
"19","marital3",43.8252662161663,43.543535,NA,"[NA, NA]",NA
"20","marital4",71.4325269943381,61.378014,NA,"[NA, NA]",NA
"21","marital5",132.272029880272,-71.151001,NA,"[NA, NA]",NA
"22","marital6",83.3599371482594,79.809827,NA,"[NA, NA]",NA
"23","marital7",91.4843202578075,76.677663,NA,"[NA, NA]",NA
