"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",NA,NA,NA,"[NaN, NA]",NA
"2","pxt1",90.2505194262371,96.319191197,171.579744763122,"[-246.05, 426.55]","no"
"3","pxt2",-130.495206963507,-149.789895226,155.523868280315,"[-435.32, 174.33]","no"
"4","pxt3",74.8357857454304,57.55270845,157.869133832354,"[-234.59, 384.26]","no"
"5","birth_interval1",34.4140536776043,34.442474668,178.331670585027,"[-315.12, 383.94]","no"
"6","birth_interval2",142.159119304207,130.8412975146,218.745854563199,"[-286.58, 570.9]","no"
"7","birth_interval3",218.63519891793,174.678736892,325.926056372513,"[-420.18, 857.45]","no"
"8","age",-19.1401161819691,-1.248235552,66.956890043016,"[-150.38, 112.1]","no"
"9","educ",-19.1159794662983,-6.812812771,53.0956370564995,"[-123.18, 84.95]","no"
"10","private",17.0886931952162,17.793953984,169.295209161462,"[-314.73, 348.91]","no"
"11","labors",-13.9749283118161,11.126936037,107.519457597234,"[-224.71, 196.76]","no"
"12","nchild",13.4790265451985,-1.006359052,93.228695653325,"[-169.25, 196.21]","no"
"13","visits",19.5775694480004,19.844653699476,11.5904837674949,"[-3.14, 42.29]","no"
"14","nbl",-1368.8042991949,-1391.299569632,423.965276923232,"[-2199.78, -537.83]","yes"
"15","sex",-153.036684514781,-155.894067995,36.5445964649267,"[-224.66, -81.41]","yes"
"16","tlabor",-121.74854178505,-105.600100513,165.541336273245,"[-446.21, 202.71]","no"
"17","marital2",97.7440457265363,100.9937139243,44.341669101415,"[10.83, 184.65]","yes"
"18","marital3",-129.922198614122,-151.873104263,257.766587764865,"[-635.14, 375.3]","no"
"19","marital4",NA,NA,NA,"[NaN, NA]",NA
"20","marital6",626.96009046201,614.538318921311,136.990573269189,"[358.46, 895.46]","yes"
"21","marital7",-41.5992143963828,-63.586275673,100.923844385114,"[-239.41, 156.21]","no"
"22","bx_pxt1",-319.049654725223,-284.635400509,190.851295467397,"[-693.12, 55.02]","no"
"23","bx_pxt2",163.778646856073,235.689670598,271.598084768416,"[-368.55, 696.11]","no"
"24","bx_pxt3",-239.289669432732,-183.775305640816,239.912373614301,"[-709.52, 230.94]","no"
