"","coef","estimate_3","mean_3","se_3","ci_3","significant_3"
"1","bx",-37.5898353549272,-45.114239822,44.7316656461337,"[-125.26, 50.08]","no"
"2","pxt1",17.58211798552,16.014198733,16.352529023834,"[-14.47, 49.63]","no"
"3","ethnic2",-0.285353474117218,12.214645972,82.3841407373429,"[-161.76, 161.19]","no"
"4","ethnic3",-9.78587281264526,-25.684495873,57.3797522862208,"[-122.25, 102.68]","no"
"5","ethnic4",22.7859036899138,32.192552503,70.2691872886101,"[-114.94, 160.51]","no"
"6","ethnic5",10.8603646937543,1.798456748,52.1052992597978,"[-91.27, 112.99]","no"
"7","ethnic6",-65.7910282234226,-72.319770791,38.8452747076195,"[-141.93, 10.35]","no"
"8","ethnic7",-39.9249591033345,-37.223335258,38.6916770189886,"[-115.76, 35.91]","no"
"9","ethnic8",-50.9405716000044,-74.509131724,155.707535645845,"[-356.13, 254.25]","no"
"10","age",3.30625401962048,3.183940965,0.889802614200089,"[1.56, 5.05]","yes"
"11","educ",20.6157214197864,22.86885255,10.4050082417464,"[0.22, 41.01]","yes"
"12","private",144.430520856407,138.229374335,21.6388020209837,"[102.02, 186.84]","yes"
"13","labors",20.1629402415262,19.305554347,18.4839132333217,"[-16.07, 56.39]","no"
"14","nchild",8.53404325572111,9.29581418,17.9657923954333,"[-26.68, 43.75]","no"
"15","visits",19.3709154887151,19.628076082,2.01915060558789,"[15.41, 23.33]","yes"
"16","nbl",-911.623694021322,-915.152777822,31.0155629614413,"[-972.41, -850.83]","yes"
"17","sex",-103.93219630031,-104.130724365,6.30310072321029,"[-116.29, -91.58]","yes"
"18","tlabor",-21.7713403213053,-23.937811592,14.6118464787325,"[-50.41, 6.87]","no"
"19","marital2",48.9064547054062,48.810880608,11.0526663949052,"[27.24, 70.57]","yes"
"20","marital3",43.7169512656887,44.941708411,13.958195751358,"[16.36, 71.08]","yes"
"21","marital4",71.9340947526876,79.202509914,38.5085966785349,"[-3.54, 147.41]","no"
"22","marital5",135.044197979231,122.226309299,151.377327312553,"[-161.66, 431.74]","no"
"23","marital6",84.6217120308088,71.499141505,139.469422952196,"[-188.74, 357.98]","no"
"24","marital7",91.1729908260732,87.187973751,29.6078052157937,"[33.14, 149.2]","yes"
"25","bx_pxt1",-47.4376748418134,-41.825146683,22.1726615248431,"[-90.9, -3.98]","yes"
