"","coef","estimate_3","mean_3","se_3","ci_3","significant_3"
"1","bx",-0.0189388316529399,-0.015399472957,0.00892677978807326,"[-0.04, 0]","yes"
"2","pxp",-0.00537051753680307,-0.004823117856,0.00399065458988371,"[-0.01, 0]","no"
"3","ethnic2",0.0181392658206351,0.015538261486,0.029089758765431,"[-0.04, 0.08]","no"
"4","ethnic3",-0.00364958498598451,0.000872742968,0.0185838359447317,"[-0.04, 0.03]","no"
"5","ethnic4",-0.0356524869671883,-0.036238153278,0.0195092496365025,"[-0.07, 0]","no"
"6","ethnic5",-0.0011249855817588,0.0006317188376,0.0120224015357191,"[-0.02, 0.02]","no"
"7","ethnic6",-0.00758246709677069,-0.004845221426,0.0104634741625196,"[-0.03, 0.01]","no"
"8","ethnic7",0.00765722455526985,0.008369979718,0.0205358037599979,"[-0.03, 0.05]","no"
"9","ethnic8",-0.0333428525562276,-0.030543457998,0.0191496414114349,"[-0.07, 0]","no"
"10","age",-0.00034392678242907,-0.0003136814947,0.000218570597129852,"[0, 0]","no"
"11","educ",0.0030072722317885,0.0032276097981,0.00204217957051902,"[0, 0.01]","no"
"12","private",-0.0156174976268437,-0.015594881862,0.00253902169959666,"[-0.02, -0.01]","yes"
"13","labors",-0.18909655719393,-0.188437620762,0.0258483013769314,"[-0.24, -0.14]","yes"
"14","nchild",0.191110819918774,0.190244009495,0.0259632815698435,"[0.14, 0.24]","yes"
"15","visits",0.00149540366704707,0.001355238367,0.000648891903980538,"[0, 0]","yes"
"16","sex",0.000428902664560139,0.0003366893923,0.00158320494955636,"[0, 0]","no"
"17","tlabor",0.0228333097693437,0.022726783809,0.00226360215176966,"[0.02, 0.03]","yes"
"18","marital2",-0.00351786432508654,-0.003691725223,0.00221500248021945,"[-0.01, 0]","no"
"19","marital3",0.00042479517043965,0.00055830582506,0.00319898969970106,"[-0.01, 0.01]","no"
"20","marital4",0.00355974757258862,0.0004336524077,0.0130204914975073,"[-0.02, 0.03]","no"
"21","marital5",-0.0254337584998404,-0.024533141969,0.0156372907854969,"[-0.06, 0.01]","no"
"22","marital6",-0.00693001177407046,-0.006252108385,0.00404445175593176,"[-0.01, 0]","no"
"23","marital7",-0.00317602520696528,-0.003259463714,0.00883092776656328,"[-0.02, 0.01]","no"
"24","bx_pxp",0.000543160069316499,-0.00268046933285,0.00994609617527894,"[-0.02, 0.02]","no"
