"","coef","estimate_1","mean_1","se_1","ci_1","significant_1"
"1","bx",-48.5808371373589,-59.8108398817,59.2408187529198,"[-164.69, 67.53]","no"
"2","ethnic2",-1.64222111988613,7.4575705782,83.2568262056179,"[-164.83, 161.54]","no"
"3","ethnic3",-10.1930946214931,-13.09212134115,63.5075005052766,"[-134.67, 114.28]","no"
"4","ethnic4",22.442208586778,21.81100753505,69.6180106109697,"[-114.01, 158.89]","no"
"5","ethnic5",10.4015557110686,7.6655430965,50.2304649056009,"[-88.05, 108.85]","no"
"6","ethnic6",-66.237126069563,-67.05435987035,36.495449405761,"[-137.77, 5.29]","no"
"7","ethnic7",-39.681794849554,-38.7805660035,45.622634704837,"[-129.1, 49.74]","no"
"8","ethnic8",-48.4160974626987,-60.6790339056,154.350613974896,"[-350.94, 254.11]","no"
"9","age",3.28882647423287,3.2968290204,0.80631762297943,"[1.71, 4.87]","yes"
"10","educ",20.6515101418615,21.3050547319,9.00249327077906,"[3.01, 38.3]","yes"
"11","private",144.526286911716,142.4572299647,20.9300836817918,"[103.5, 185.55]","yes"
"12","labors",19.6717479937916,19.82187919165,15.2819456723598,"[-10.28, 49.62]","no"
"13","nchild",9.03143933147028,8.5059095744,15.2898303532337,"[-20.94, 39]","no"
"14","visits",19.3291933552382,19.5845980845,2.09208754439497,"[15.23, 23.43]","yes"
"15","nbl",-912.170034568939,-909.9519169826,30.2515186416595,"[-971.46, -852.88]","no"
"16","sex",-103.974541852638,-104.3272452748,6.35792208936511,"[-116.44, -91.51]","no"
"17","tlabor",-21.7746580559017,-22.91931016615,14.5042284362254,"[-50.2, 6.65]","no"
"18","marital2",48.8243408708978,47.38915092165,9.96167413756449,"[29.3, 68.35]","yes"
"19","marital3",43.8252662161663,41.3692719243,13.9900350678209,"[16.4, 71.25]","yes"
"20","marital4",71.4325269943381,71.7530878958,42.1877913338297,"[-11.26, 154.12]","no"
"21","marital5",132.272029880272,111.1835999917,137.867291185814,"[-137.95, 402.49]","no"
"22","marital6",83.3599371482594,70.39319190115,120.313300287297,"[-152.45, 319.17]","no"
"23","marital7",91.4843202578075,87.24351005335,29.4964459662356,"[33.67, 149.3]","yes"
