"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",0.106471943438282,0.070092194232,0.138634669600928,"[-0.17, 0.38]","no"
"2","pxt1",0.0631457811422041,0.060538658897,0.0368568202267525,"[-0.01, 0.14]","no"
"3","pxt2",-0.0417302041161632,-0.048871540467,0.0541849896450107,"[-0.15, 0.06]","no"
"4","pxt3",-0.00556667375239377,-0.007649624905,0.0400952202918011,"[-0.08, 0.07]","no"
"5","ethnic2",0.0803419597090771,0.095064790932,0.248002604567403,"[-0.41, 0.57]","no"
"6","ethnic3",-0.299123183768369,-0.3148371855182,0.22737261837946,"[-0.74, 0.15]","no"
"7","ethnic4",-0.402372985433225,-0.40723560068,0.193603574566122,"[-0.78, -0.02]","no"
"8","ethnic5",-0.266373175387801,-0.284174599432,0.191108502846591,"[-0.64, 0.11]","no"
"9","ethnic6",-0.415911640475652,-0.425553367884,0.174920953219433,"[-0.76, -0.07]","no"
"10","ethnic7",-0.294062473254659,-0.296978764636,0.214325535371942,"[-0.71, 0.13]","no"
"11","ethnic8",-0.313646292693588,-0.333408009896,0.284584028024134,"[-0.87, 0.24]","no"
"12","age",-0.00255518899540984,-0.0023530250105,0.00269424530004138,"[-0.01, 0]","no"
"13","educ",-0.00315573595758679,-0.002297409834,0.0263103695096164,"[-0.05, 0.05]","no"
"14","private",0.0300828221780797,0.042658350127,0.0622200431208646,"[-0.09, 0.15]","no"
"15","labors",0.0742973444676487,0.06322692805,0.0634335152869064,"[-0.05, 0.2]","no"
"16","nchild",-0.0605875832010222,-0.0518305485874,0.0606793426132068,"[-0.18, 0.06]","no"
"17","visits",0.0676268734135357,0.067900790463,0.00602594556944347,"[0.06, 0.08]","yes"
"18","nbl",-2.60844145690512,-2.65549639405,0.214726459924464,"[-3.03, -2.19]","no"
"19","sex",-0.028633936746718,-0.027731898006,0.0191139062500443,"[-0.07, 0.01]","no"
"20","tlabor",-0.245136931040776,-0.248798243556,0.0318431238994989,"[-0.31, -0.18]","no"
"21","marital2",0.076835229516247,0.078977358941,0.0206507014355762,"[0.04, 0.12]","yes"
"22","marital3",0.00851863854996608,0.011972721745,0.0406227788377695,"[-0.07, 0.09]","no"
"23","marital4",-0.0996137729102244,-0.109721560011,0.131518903368024,"[-0.36, 0.16]","no"
"24","marital5",0.577202724918014,0.547002775308,0.209469472704945,"[0.17, 0.99]","yes"
"25","marital6",0.419445218747291,0.387528113681,0.138379579117156,"[0.15, 0.69]","yes"
"26","marital7",0.0231508373234785,0.008450940497,0.0691616326207204,"[-0.11, 0.16]","no"
"27","bx:pxt1",-0.141548898461844,NA,NA,"[NA, NA]",NA
"28","bx:pxt2",-0.120826912944991,NA,NA,"[NA, NA]",NA
"29","bx:pxt3",-0.0594067079408492,NA,NA,"[NA, NA]",NA
"30","bx_pxt1",NA,-0.128568998981,0.0723585179918291,"[NA, NA]",NA
"31","bx_pxt2",NA,-0.123323072728,0.0697386010532674,"[NA, NA]",NA
"32","bx_pxt3",NA,-0.060342892537,0.0580267908971682,"[NA, NA]",NA
